Team Name,Team ID,Team Name Link,League Code,League,Region
Standard Liege,559,standard-liege,bel.1,Belgian Pro League,Europe
Union St.-Gilloise,5807,union-st-gilloise,bel.1,Belgian Pro League,Europe
Always Ready,19425,always-ready,bol.1,Bolivian Liga Profesional,South America
Aurora,6046,aurora,bol.1,Bolivian Liga Profesional,South America
Blooming,6047,blooming,bol.1,Bolivian Liga Profesional,South America
Bolívar,2681,bolivar,bol.1,Bolivian Liga Profesional,South America
GV San José,22174,gv-san-jose,bol.1,Bolivian Liga Profesional,South America
Guabirá,9497,guabira,bol.1,Bolivian Liga Profesional,South America
Independiente Petrolero,20889,independiente-petrolero,bol.1,Bolivian Liga Profesional,South America
Jorge Wilstermann,6054,jorge-wilstermann,bol.1,Bolivian Liga Profesional,South America
Nacional Potosí,10311,nacional-potosi,bol.1,Bolivian Liga Profesional,South America
Oriente Petrolero,2682,oriente-petrolero,bol.1,Bolivian Liga Profesional,South America
Real Santa Cruz,20655,real-santa-cruz,bol.1,Bolivian Liga Profesional,South America
Real Tomayapo,20890,real-tomayapo,bol.1,Bolivian Liga Profesional,South America
Royal Pari,18984,royal-pari,bol.1,Bolivian Liga Profesional,South America
San Antonio Bulo Bulo,22137,san-antonio-bulo-bulo,bol.1,Bolivian Liga Profesional,South America
